0.0,0.0,0.0
0.01,0.0001,0.0
0.02,0.0004,0.0
0.03,0.0009,0.0
0.04,0.0016,0.0
0.05,0.0025,0.0
0.06,0.0036,0.0
0.07,0.0049,0.0
0.08,0.0064,0.0
0.09,0.0081,0.0
0.1,0.01,0.0
0.11,0.0121,0.0
0.12,0.0144,0.0
0.13,0.0169,0.0
0.14,0.0196,0.0
0.15,0.0225,0.0
0.16,0.0256,0.0
0.17,0.0289,0.0
0.18,0.0324,0.0
0.19,0.0361,0.0
0.2,0.04,0.0
0.21,0.0441,0.0
0.22,0.0484,0.000485714285714
0.23,0.0529,0.000485714285714
0.24,0.0576,0.00151428571429
0.25,0.0625,0.00151428571429
0.26,0.0676,0.00308571428571
0.27,0.0729,0.00308571428571
0.28,0.0784,0.00448571428572
0.29,0.0841,0.00448571428572
0.3,0.09,0.150514285714
0.31,0.0961,0.150514285714
0.32,0.1024,0.980228571429
0.33,0.1089,0.980228571429
0.34,0.1156,3.01922857143
0.35,0.1225,3.01922857143
0.36,0.1296,0.924571428571
0.37,0.1369,0.924571428571
0.38,0.1444,0.130714285714
0.39,0.1521,0.130714285714
0.4,0.16,0.0344
0.41,0.1681,0.0344
0.42,0.1764,0.00814285714286
0.43,0.1849,0.00814285714286
0.44,0.1936,0.00302857142857
0.45,0.2025,0.00302857142857
0.46,0.2116,0.002
0.47,0.2209,0.002
0.48,0.2304,0.00194285714286
0.49,0.2401,0.00194285714286
0.5,0.25,0.000600000000001
0.51,0.2601,0.000600000000001
0.52,0.2704,0.000571428571429
0.53,0.2809,0.000571428571429
0.54,0.2916,0.00102857142857
0.55,0.3025,0.00102857142857
0.56,0.3136,0.000600000000001
0.57,0.3249,0.000600000000001
0.58,0.3364,0.0014
0.59,0.3481,0.0014
0.6,0.36,0.000571428571429
0.61,0.3721,0.000571428571429
0.62,0.3844,0.0
0.63,0.3969,0.0
0.64,0.4096,0.000571428571428
0.65,0.4225,0.000571428571428
0.66,0.4356,0.000142857142857
0.67,0.4489,0.000142857142857
0.68,0.4624,0.0
0.69,0.4761,0.0
0.7,0.49,0.0
0.71,0.5041,0.0
0.72,0.5184,8.57142857143e-05
0.73,0.5329,8.57142857143e-05
0.74,0.5476,0.0
0.75,0.5625,0.0
0.76,0.5776,0.000285714285714
0.77,0.5929,0.000285714285714
0.78,0.6084,0.0
0.79,0.6241,0.0
0.8,0.64,0.0
0.81,0.6561,0.0
0.82,0.6724,0.0
0.83,0.6889,0.0
0.84,0.7056,0.0
0.85,0.7225,0.0
0.86,0.7396,0.0
0.87,0.7569,0.0
0.88,0.7744,0.0
0.89,0.7921,0.0
0.9,0.81,0.0
0.91,0.8281,0.0
0.92,0.8464,0.0
0.93,0.8649,0.0
0.94,0.8836,0.0
0.95,0.9025,0.0
0.96,0.9216,0.0
0.97,0.9409,0.0
0.98,0.9604,0.0
0.99,0.9801,0.0
